?class	?label
"http://purl.obolibrary.org/obo/ENVO_00000389"	"intermittent wetland"
"http://purl.obolibrary.org/obo/ENVO_3100020"	"concentration of methane in liquid water"
"http://purl.obolibrary.org/obo/ENVO_2000021"	"magnetic energy"
"http://purl.obolibrary.org/obo/FOODON_00001138"	"tea based beverage product"
"http://purl.obolibrary.org/obo/ENVO_0010094"	"obsolete pickled cruciferous food product"
"http://purl.obolibrary.org/obo/ENVO_0010102"	"obsolete rye product"
"http://purl.obolibrary.org/obo/ENVO_01000453"	"carbon pooling disposition"
"http://purl.obolibrary.org/obo/ENVO_01001223"	"lumber production process"
"http://purl.obolibrary.org/obo/ENVO_09200021"	"obsolete concentration of oxygen in water"
"http://purl.obolibrary.org/obo/ENVO_00000193"	"olive grove"
"http://purl.obolibrary.org/obo/ENVO_0010056"	"obsolete yeast product"
"http://purl.obolibrary.org/obo/ENVO_00002159"	"drilling bore water"
"http://purl.obolibrary.org/obo/PATO_0000574"	"decreased length"
"http://purl.obolibrary.org/obo/ENVO_00002276"	"animal waste material"
"http://purl.obolibrary.org/obo/FOODON_00001289"	"potato salad food product"
"http://purl.obolibrary.org/obo/ENVO_03000072"	"second year ice"
"http://purl.obolibrary.org/obo/UBERON_0002349"	"myocardium"
"http://purl.obolibrary.org/obo/ENVO_00000365"	"Ramsar site"
"http://purl.obolibrary.org/obo/ENVO_01001448"	"usage of an environment for retail activity"
"http://purl.obolibrary.org/obo/CHEBI_24436"	"guanidines"
"http://purl.obolibrary.org/obo/UBERON_0004905"	"articulation"
"http://purl.obolibrary.org/obo/ENVO_01001791"	"mediterranean forest"
"http://purl.obolibrary.org/obo/CHEBI_32999"	"europium atom"
"http://purl.obolibrary.org/obo/ENVO_01000323"	"atmospheric boundary layer"
"http://purl.obolibrary.org/obo/ENVO_01000517"	"pit latrine"
"http://purl.obolibrary.org/obo/ENVO_03000115"	"perennial snow patch"
"http://purl.obolibrary.org/obo/PATO_0045094"	"west"
"http://purl.obolibrary.org/obo/ENVO_01000730"	"lava flow process"
"http://purl.obolibrary.org/obo/UBERON_0001913"	"milk"
"http://purl.obolibrary.org/obo/ENVO_03500003"	"public sports field"
"http://purl.obolibrary.org/obo/CHEBI_35171"	"elemental vanadium"
"http://purl.obolibrary.org/obo/PATO_0000048"	"hardness"
"http://purl.obolibrary.org/obo/CHEBI_33581"	"boron group molecular entity"
"http://purl.obolibrary.org/obo/PATO_0001583"	"decreased variability"
"http://purl.obolibrary.org/obo/ENVO_00000204"	"ephemeral spring"
"http://purl.obolibrary.org/obo/ENVO_00000448"	"hydroelectric reservoir"
"http://purl.obolibrary.org/obo/UBERON_0016887"	"entire extraembryonic component"
"http://purl.obolibrary.org/obo/ENVO_01001512"	"congelation sea ice"
"http://purl.obolibrary.org/obo/ENVO_00002189"	"obsolete cheese product"
"http://purl.obolibrary.org/obo/UBERON_0004086"	"brain ventricle"
"http://purl.obolibrary.org/obo/ENVO_01000676"	"contaminated air"
"http://purl.obolibrary.org/obo/ENVO_00000881"	"obsolete Tropical and subtropical grasslands, savannas, and shrubland biome"
"http://purl.obolibrary.org/obo/ENVO_00005772"	"orchard soil"
"http://purl.obolibrary.org/obo/UBERON_0002406"	"pericardial sac"
"http://purl.obolibrary.org/obo/ENVO_00005757"	"bacteria enriched soil"
"http://purl.obolibrary.org/obo/CHEBI_17632"	"nitrate"
"http://purl.obolibrary.org/obo/ENVO_01000479"	"lime plaster"
"http://purl.obolibrary.org/obo/ENVO_00000091"	"beach"
"http://purl.obolibrary.org/obo/ENVO_01000818"	"cryosphere"
"http://purl.obolibrary.org/obo/PATO_0002021"	"conical"
"http://purl.obolibrary.org/obo/NCBITaxon_465832"	"Calyptra"
"http://purl.obolibrary.org/obo/ENVO_00002297"	"obsolete environmental feature"
"http://purl.obolibrary.org/obo/FOODON_03420228"	"extract, concentrate or isolate of plant or animal"
"http://purl.obolibrary.org/obo/UBERON_0004290"	"dermomyotome"
"http://purl.obolibrary.org/obo/ENVO_00005764"	"pond soil"
"http://purl.obolibrary.org/obo/FOODON_03303220"	"dessert food"
"http://purl.obolibrary.org/obo/UBERON_0000483"	"epithelium"
"http://purl.obolibrary.org/obo/GO_0015979"	"photosynthesis"
"http://purl.obolibrary.org/obo/CHEBI_58950"	"very long-chain fatty acid anion"
"http://purl.obolibrary.org/obo/ENVO_01000082"	"biogenous sediment"
"http://purl.obolibrary.org/obo/FOODON_00001056"	"flour food product"
"http://purl.obolibrary.org/obo/ENVO_00003862"	"dairy"
"http://purl.obolibrary.org/obo/ENVO_03520004"	"cloud base"
"http://purl.obolibrary.org/obo/ENVO_01000687"	"coast"
"http://purl.obolibrary.org/obo/ENVO_01001758"	"downdraft"
"http://purl.obolibrary.org/obo/ENVO_3200023"	"concentration of cobalt in water ice"
"http://purl.obolibrary.org/obo/CHEBI_25555"	"nitrogen atom"
"http://purl.obolibrary.org/obo/ENVO_01000632"	"chonolith"
"http://purl.obolibrary.org/obo/ENVO_01000132"	"thermophilic sediment"
"http://purl.obolibrary.org/obo/ENVO_01000180"	"tundra biome"
"http://purl.obolibrary.org/obo/PATO_0045052"	"normal depth"
"http://purl.obolibrary.org/obo/ENVO_01000098"	"deep ocean current"
"http://purl.obolibrary.org/obo/CHEBI_33893"	"reagent"
"http://purl.obolibrary.org/obo/PATO_0001865"	"spheroid"
"http://purl.obolibrary.org/obo/FOODON_03400155"	"fruit butter, jelly, preserve or related product (us cfr)"
"http://purl.obolibrary.org/obo/NCBITaxon_2696291"	"Ochrophyta"
"http://purl.obolibrary.org/obo/UBERON_0002297"	"cerumen"
"http://purl.obolibrary.org/obo/CHEBI_27325"	"xanthophyll"
"http://purl.obolibrary.org/obo/FOODON_00002038"	"millet food product"
"http://purl.obolibrary.org/obo/ENVO_01000550"	"composting toilet"
"http://purl.obolibrary.org/obo/ENVO_01000591"	"bed frame"
"http://purl.obolibrary.org/obo/PATO_0002233"	"far from"
"http://purl.obolibrary.org/obo/ENVO_01000200"	"tropical broadleaf forest biome"
"http://purl.obolibrary.org/obo/BFO_0000024"	"fiat object"
"http://purl.obolibrary.org/obo/PO_0009013"	"portion of meristem tissue"
"http://purl.obolibrary.org/obo/ENVO_01000957"	"double tree line ecotone"
"http://purl.obolibrary.org/obo/ENVO_01001654"	"aerosol formation process"
"http://purl.obolibrary.org/obo/ENVO_01000861"	"area of dwarf scrub"
"http://purl.obolibrary.org/obo/ENVO_01000493"	"stone building floor"
"http://purl.obolibrary.org/obo/ENVO_00003015"	"obsolete Marine Division - Mountain Provinces (M240)"
"http://purl.obolibrary.org/obo/ENVO_00005795"	"marine mud"
"http://purl.obolibrary.org/obo/ENVO_01001461"	"UNEP-WCMC class 1 mountain"
"http://purl.obolibrary.org/obo/ENVO_00003001"	"obsolete Humid Temperate Domain (200)"
"http://purl.obolibrary.org/obo/UBERON_0010252"	"1st arch mandibular mesenchyme from neural crest"
"http://purl.obolibrary.org/obo/ENVO_09000009"	"concentration of carbon atom in water"
"http://purl.obolibrary.org/obo/ENVO_01000719"	"snowmelt"
"http://purl.obolibrary.org/obo/FOODON_00001127"	"cow milk cheese"
"http://purl.obolibrary.org/obo/ENVO_00000087"	"cliff"
"http://purl.obolibrary.org/obo/ENVO_01001326"	"estuarine tidal riverine open water surface layer"
"http://purl.obolibrary.org/obo/ENVO_02000065"	"obsolete chocolate"
"http://purl.obolibrary.org/obo/FOODON_00001015"	"plant food product"
"http://purl.obolibrary.org/obo/ENVO_00000385"	"stream mouth"
"http://purl.obolibrary.org/obo/UBERON_0034921"	"multi organ part structure"
"http://purl.obolibrary.org/obo/FOODON_03430109"	"food (liquid, low viscosity)"
"http://purl.obolibrary.org/obo/ENVO_01000801"	"star"
"http://purl.obolibrary.org/obo/PATO_0001693"	"increased viscosity"
"http://purl.obolibrary.org/obo/ENVO_00002211"	"thermophilic anaerobic methanogenic reactor"
"http://purl.obolibrary.org/obo/FOODON_00001021"	"acifified beer wort food product"
"http://purl.obolibrary.org/obo/ENVO_00000326"	"sea cave"
"http://purl.obolibrary.org/obo/ENVO_00000409"	"whirlpool"
"http://purl.obolibrary.org/obo/UBERON_0004779"	"respiratory system lamina propria"
"http://purl.obolibrary.org/obo/PO_0000037"	"shoot axis apex"
"http://purl.obolibrary.org/obo/ENVO_01000294"	"crevice"
"http://purl.obolibrary.org/obo/ENVO_01000624"	"hydrological condensation process"
"http://purl.obolibrary.org/obo/ENVO_01001338"	"diurnal marine tidal flow zone"
"http://purl.obolibrary.org/obo/FOODON_00001274"	"egg food product"
"http://purl.obolibrary.org/obo/ENVO_01001343"	"semi-diurnal marine tidal flow process"
"http://purl.obolibrary.org/obo/ENVO_00003016"	"obsolete Prairie Division (250)"
"http://purl.obolibrary.org/obo/ENVO_00000435"	"proglacial lake"
"http://purl.obolibrary.org/obo/ENVO_00002051"	"stony-iron meteorite"
"http://purl.obolibrary.org/obo/ENVO_09200010"	"acidity of soil"
"http://purl.obolibrary.org/obo/ENVO_00000042"	"drainage canal"
"http://purl.obolibrary.org/obo/ENVO_00000247"	"volcano"
"http://purl.obolibrary.org/obo/ENVO_06105124"	"coastal anthropogenic litter"
"http://purl.obolibrary.org/obo/CHEBI_25274"	"methylamines"
"http://purl.obolibrary.org/obo/ENVO_01001328"	"estuarine tidal riverine open water pycnocline"
"http://purl.obolibrary.org/obo/ENVO_03510018"	"resin"
"http://purl.obolibrary.org/obo/ENVO_01000795"	"planetary wind"
"http://purl.obolibrary.org/obo/PO_0025538"	"plant sap"
"http://purl.obolibrary.org/obo/ENVO_01001821"	"hydrothermally-influenced sediment"
"http://purl.obolibrary.org/obo/ENVO_03510032"	"acrylic paint"
"http://purl.obolibrary.org/obo/FOODON_03400147"	"milk or milk product analog (us cfr)"
"http://purl.obolibrary.org/obo/CHEBI_59739"	"electrophilic reagent"
"http://purl.obolibrary.org/obo/ENVO_02000115"	"vanadium fume"
"http://purl.obolibrary.org/obo/PATO_0000911"	"decreased rate"
"http://purl.obolibrary.org/obo/ENVO_03000104"	"snow drift formation"
"http://purl.obolibrary.org/obo/UBERON_0000030"	"lamina propria"
"http://purl.obolibrary.org/obo/FOODON_00001139"	"coffee based beverage product"
"http://purl.obolibrary.org/obo/PATO_0002359"	"broad"
"http://purl.obolibrary.org/obo/ENVO_00003903"	"aviation fuel"
"http://purl.obolibrary.org/obo/ENVO_06105118"	"lost fishing gear"
"http://purl.obolibrary.org/obo/ENVO_01000655"	"explosive eruption"
"http://purl.obolibrary.org/obo/ENVO_00000516"	"hummock"
"http://purl.obolibrary.org/obo/UBERON_0000990"	"reproductive system"
"http://purl.obolibrary.org/obo/CHEBI_33429"	"monoatomic monoanion"
"http://purl.obolibrary.org/obo/PO_0025128"	"phyllome primordium"
"http://purl.obolibrary.org/obo/ENVO_03000029"	"glacial ice gain"
"http://purl.obolibrary.org/obo/ENVO_01000723"	"melting"
"http://purl.obolibrary.org/obo/CHEBI_24431"	"chemical entity"
"http://purl.obolibrary.org/obo/ENVO_01001304"	"oasis"
"http://purl.obolibrary.org/obo/ENVO_00002174"	"obsolete hot dog"
"http://purl.obolibrary.org/obo/ENVO_03500009"	"attractive environment"
"http://purl.obolibrary.org/obo/ENVO_00000224"	"slightly stratified estuary"
"http://purl.obolibrary.org/obo/ENVO_00000344"	"grain of desert sand"
"http://purl.obolibrary.org/obo/ENVO_00000285"	"quicksand bed"
"http://purl.obolibrary.org/obo/ENVO_01000983"	"technosphere"
"http://purl.obolibrary.org/obo/ENVO_0010155"	"obsolete spice product"
"http://purl.obolibrary.org/obo/ENVO_01000849"	"flower-rich field margin strip"
"http://purl.obolibrary.org/obo/NCBITaxon_92939"	"Gloeotrichia"
"http://purl.obolibrary.org/obo/ENVO_00000138"	"cove"
"http://purl.obolibrary.org/obo/UBERON_0002072"	"hypodermis"
"http://purl.obolibrary.org/obo/ENVO_00000097"	"desert area"
"http://purl.obolibrary.org/obo/ENVO_00000148"	"riffle"
"http://purl.obolibrary.org/obo/ENVO_01001380"	"neritic mussel reef"
"http://purl.obolibrary.org/obo/ENVO_01000053"	"marine ultramafic hydrothermal vent biome"
"http://purl.obolibrary.org/obo/ENVO_01000036"	"oceanic mesopelagic zone biome"
"http://purl.obolibrary.org/obo/ENVO_03000059"	"young ice formation process"
"http://purl.obolibrary.org/obo/UBERON_0013685"	"foramen of skull"
"http://purl.obolibrary.org/obo/ENVO_02500009"	"biogeochemical cycling"
"http://purl.obolibrary.org/obo/ENVO_01001430"	"agricultural land conversion process"
"http://purl.obolibrary.org/obo/ENVO_00000876"	"obsolete Temperate broadleaf and mixed forest biome"
"http://purl.obolibrary.org/obo/ENVO_01001867"	"well stimulation"
"http://purl.obolibrary.org/obo/ENVO_01000717"	"areal flooding"
"http://purl.obolibrary.org/obo/ENVO_2000014"	"generation of energy from oil"
"http://purl.obolibrary.org/obo/ENVO_03000132"	"firebreak"
"http://purl.obolibrary.org/obo/ENVO_00000550"	"range of seamounts"
"http://purl.obolibrary.org/obo/CHEBI_25512"	"neurotransmitter"
"http://purl.obolibrary.org/obo/FOODON_03315925"	"pate"
"http://purl.obolibrary.org/obo/ENVO_01000420"	"building part"
"http://purl.obolibrary.org/obo/ENVO_00000484"	"polynya"
"http://purl.obolibrary.org/obo/ENVO_02000107"	"grain dust"
"http://purl.obolibrary.org/obo/PATO_0000440"	"regular spatial pattern"
"http://purl.obolibrary.org/obo/ENVO_00000531"	"ice cap depression"
"http://purl.obolibrary.org/obo/ENVO_00000105"	"lake surface"
"http://purl.obolibrary.org/obo/ENVO_01001744"	"drainage wind"
"http://purl.obolibrary.org/obo/PATO_0002300"	"increased quality"
"http://purl.obolibrary.org/obo/UBERON_0007135"	"neural keel"
"http://purl.obolibrary.org/obo/ENVO_01000853"	"marl"
"http://purl.obolibrary.org/obo/FOODON_00001104"	"sea water fish egg food product"
"http://purl.obolibrary.org/obo/ENVO_0010018"	"obsolete camelid dairy product"
"http://purl.obolibrary.org/obo/ENVO_00000478"	"range of mounts"
"http://purl.obolibrary.org/obo/PATO_0001559"	"having extra function"
"http://purl.obolibrary.org/obo/PATO_0000642"	"fused with"
"http://purl.obolibrary.org/obo/ENVO_01001183"	"arable or pasturable land"
"http://purl.obolibrary.org/obo/ENVO_0010045"	"obsolete condiment"
"http://purl.obolibrary.org/obo/ENVO_00003026"	"obsolete Tropical/Subtropical Steppe Division (310)"
