predicate_id	object_id	object_label	object_source	confidence	match_string	is_longest_match	matches_whole_text	match_type	info	subject_start	subject_end	subject_label	subject_source	subject_text_id
None	ENVO:01000245	cropland biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	PREF	None	6	19	CROPLAND BIOME	envo:cropland biome	None
None	ENVO:00000296	rice field	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	6	13	CROPLAND	envo:cropland biome	None
None	ENVO:01000311	cultivated environment	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	6	13	CROPLAND	envo:cropland biome	None
None	ENVO:00000117	plantation	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	6	13	CROPLAND	envo:cropland biome	None
None	ENVO:00000115	orchard	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	6	13	CROPLAND	envo:cropland biome	None
None	ENVO:00000116	vineyard	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	6	13	CROPLAND	envo:cropland biome	None
None	ENVO:00000114	agricultural field	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	6	13	CROPLAND	envo:cropland biome	None
None	ENVO:00000011	garden	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	6	13	CROPLAND	envo:cropland biome	None
None	ENVO:00000428	biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	PREF	None	15	19	BIOME	envo:cropland biome	None
None	ENVO:01000245	cropland biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	True	PREF	None	1	14	CROPLAND BIOME	cropland biome	None
None	ENVO:00000296	rice field	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	1	8	CROPLAND	cropland biome	None
None	ENVO:01000311	cultivated environment	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	1	8	CROPLAND	cropland biome	None
None	ENVO:00000117	plantation	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	1	8	CROPLAND	cropland biome	None
None	ENVO:00000115	orchard	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	1	8	CROPLAND	cropland biome	None
None	ENVO:00000116	vineyard	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	1	8	CROPLAND	cropland biome	None
None	ENVO:00000114	agricultural field	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	1	8	CROPLAND	cropland biome	None
None	ENVO:00000011	garden	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	1	8	CROPLAND	cropland biome	None
None	ENVO:00000428	biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	PREF	None	10	14	BIOME	cropland biome	None
None	ENVO:01000249	urban biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	True	PREF	None	1	11	URBAN BIOME	urban biome	None
None	ENVO:00000428	biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	PREF	None	7	11	BIOME	urban biome	None
None	ENVO:00000111	forested area	https://data.bioontology.org/ontologies/ENVO	None	None	None	True	SYN	None	1	6	FOREST	forest	None
None	ENVO:01000180	tundra biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	True	PREF	None	1	12	TUNDRA BIOME	tundra biome	None
None	ENVO:00000428	biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	PREF	None	8	12	BIOME	tundra biome	None
None	ENVO:00000446	terrestrial biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	True	PREF	None	1	17	TERRESTRIAL BIOME	terrestrial biome	None
None	ENVO:00000428	biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	PREF	None	13	17	BIOME	terrestrial biome	None
None	ENVO:00001998	soil	https://data.bioontology.org/ontologies/ENVO	None	None	None	True	PREF	None	1	4	SOIL	soil	None
None	ENVO:01000193	temperate grassland biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	True	PREF	None	1	25	TEMPERATE GRASSLAND BIOME	temperate grassland biome	None
None	ENVO:01001811	temperate grassland	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	PREF	None	1	19	TEMPERATE GRASSLAND	temperate grassland biome	None
None	ENVO:01000206	temperate	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	PREF	None	1	9	TEMPERATE	temperate grassland biome	None
None	ENVO:01000177	grassland biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	PREF	None	11	25	GRASSLAND BIOME	temperate grassland biome	None
None	ENVO:00000261	savanna	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	11	19	GRASSLAND	temperate grassland biome	None
None	ENVO:00000260	prairie	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	11	19	GRASSLAND	temperate grassland biome	None
None	ENVO:00000262	steppe	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	11	19	GRASSLAND	temperate grassland biome	None
None	ENVO:00000114	agricultural field	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	11	19	GRASSLAND	temperate grassland biome	None
None	ENVO:00000444	woodland clearing	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	11	19	GRASSLAND	temperate grassland biome	None
None	ENVO:01001206	grassland ecosystem	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	11	19	GRASSLAND	temperate grassland biome	None
None	ENVO:00000428	biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	PREF	None	21	25	BIOME	temperate grassland biome	None
None	ENVO:01000174	forest biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	True	PREF	None	1	12	FOREST BIOME	forest biome	None
None	ENVO:00000111	forested area	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	1	6	FOREST	forest biome	None
None	ENVO:00000428	biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	PREF	None	8	12	BIOME	forest biome	None
None	ENVO:01000194	montane grassland biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	True	PREF	None	1	23	MONTANE GRASSLAND BIOME	montane grassland biome	None
None	ENVO:01001808	montane grassland	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	PREF	None	1	17	MONTANE GRASSLAND	montane grassland biome	None
None	ENVO:01000342	montane	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	PREF	None	1	7	MONTANE	montane grassland biome	None
None	ENVO:01000177	grassland biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	PREF	None	9	23	GRASSLAND BIOME	montane grassland biome	None
None	ENVO:00000261	savanna	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	9	17	GRASSLAND	montane grassland biome	None
None	ENVO:00000260	prairie	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	9	17	GRASSLAND	montane grassland biome	None
None	ENVO:00000262	steppe	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	9	17	GRASSLAND	montane grassland biome	None
None	ENVO:00000114	agricultural field	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	9	17	GRASSLAND	montane grassland biome	None
None	ENVO:00000444	woodland clearing	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	9	17	GRASSLAND	montane grassland biome	None
None	ENVO:01001206	grassland ecosystem	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	9	17	GRASSLAND	montane grassland biome	None
None	ENVO:00000428	biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	PREF	None	19	23	BIOME	montane grassland biome	None
None	ENVO:01001805	temperate forest	https://data.bioontology.org/ontologies/ENVO	None	None	None	True	PREF	None	1	16	TEMPERATE FOREST	temperate forest	None
None	ENVO:01000206	temperate	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	PREF	None	1	9	TEMPERATE	temperate forest	None
None	ENVO:00000111	forested area	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	11	16	FOREST	temperate forest	None
None	ENVO:01001811	temperate grassland	https://data.bioontology.org/ontologies/ENVO	None	None	None	True	PREF	None	1	19	TEMPERATE GRASSLAND	temperate grassland	None
None	ENVO:01000206	temperate	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	PREF	None	1	9	TEMPERATE	temperate grassland	None
None	ENVO:00000261	savanna	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	11	19	GRASSLAND	temperate grassland	None
None	ENVO:00000260	prairie	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	11	19	GRASSLAND	temperate grassland	None
None	ENVO:00000262	steppe	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	11	19	GRASSLAND	temperate grassland	None
None	ENVO:00000114	agricultural field	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	11	19	GRASSLAND	temperate grassland	None
None	ENVO:00000444	woodland clearing	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	11	19	GRASSLAND	temperate grassland	None
None	ENVO:01001206	grassland ecosystem	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	11	19	GRASSLAND	temperate grassland	None
None	ENVO:00000873	freshwater biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	True	PREF	None	1	16	FRESHWATER BIOME	freshwater biome	None
None	ENVO:00002011	fresh water	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	SYN	None	1	10	FRESHWATER	freshwater biome	None
None	ENVO:00000428	biome	https://data.bioontology.org/ontologies/ENVO	None	None	None	None	PREF	None	12	16	BIOME	freshwater biome	None
