slot_name	range	string_serialization	regex_pattern	min	max	is_identifier	range_type
experimental_factor	string	{termLabel} {[termID]}|{text}					type_definition
misc_param	string	{text};{float} {unit}	^\S*;[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				type_definition
oxy_stat_samp	oxy_stat_samp_enum						enum_definition
temp	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
water_content	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
carb_nitro_ratio	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
org_matter	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
org_nitro	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
tot_carb	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
tot_nitro_content	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
tot_org_carb	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
phosphate	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
salinity	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
collection_date	string	{date, arbitrary precision}	^[12]\d{3}(?:(?:-(?:0[1-9]|1[0-2]))(?:-(?:0[1-9]|[12]\d|3[01]))?)?$				type_definition
geo_loc_name	string	{text}: {text}, {text}	^[^:, ][^:]*: [^:, ][^,]*, [^:, ].*$				type_definition
lat_lon	string	(lat lon}	^[-+]?([1-8]?\d(\.\d+)?|90(\.0+)?)\s[-+]?(180(\.0+)?|((1[0-7]\d)|([1-9]?\d))(\.\d+)?)$				type_definition
elev	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
samp_store_temp	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
depth	string	{float}|{float}-{float}	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)?$|^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)?-[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)?$				type_definition
samp_mat_process	string	{text}					type_definition
samp_collec_device	string	{termLabel} {[termID]}|{text}					type_definition
samp_collec_method	string	{PMID}|{DOI}|{URL}|{text}					type_definition
chem_administration	string	{termLabel} {[termID]};{timestamp}					type_definition
samp_size	string	{float} {unit}	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				type_definition
rel_to_oxygen	rel_to_oxygen_enum						enum_definition
alt	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
ph	string	{float}		0.0	14.0		type_definition
alkalinity	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
alkyl_diethers	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
aminopept_act	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
ammonium	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
bacteria_carb_prod	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
biomass	string	{text};{float} {unit}	^\S*;[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				type_definition
bishomohopanol	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
bromide	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
calcium	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
chloride	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
chlorophyll	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
density	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
diether_lipids	string	{text};{float} {unit}	^\S*;[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				type_definition
diss_carb_dioxide	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
diss_hydrogen	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
diss_inorg_carb	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
diss_org_carb	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
diss_org_nitro	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
diss_oxygen	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
glucosidase_act	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
magnesium	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
mean_frict_vel	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
mean_peak_frict_vel	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
methane	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
n_alkanes	string	{text};{float} {unit}	^\S*;[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				type_definition
nitrate	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
nitrite	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
nitro	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
org_carb	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
organism_count	organism_count_enum						enum_definition
part_org_carb	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
particle_class	string	{text};{float} {unit}	^\S*;[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				type_definition
perturbation	string	{text};{Rn/start_time/end_time/duration}					type_definition
petroleum_hydrocarb	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
phaeopigments	string	{text};{float} {unit}	^\S*;[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				type_definition
phosplipid_fatt_acid	string	{text};{float} {unit}	^\S*;[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				type_definition
porosity	string	{float} - {float} {unit}					type_definition
potassium	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
pressure	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
redox_potential	quantity value		^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$				class_definition
samp_store_loc	string	{text}					type_definition
